rank,playerId,name,team,opponent,isHome,battingOrder,position,bats,lineupSource,gameStatus,pitcher,pitcherThrows,pitcherHr9,pitcherMixLabel,pHr,pHrRaw,xHr,expectedPa,confidence,confidenceBand,confidenceNotes,reasons,factor_batter,factor_pitcher,factor_park,factor_platoon,factor_weather,factor_form,parkHrFactor,parkAirLabel,season_hr,season_pa,season_slg,recent_hr,recent_pa,recent_games,barrelPct,evAvg,hardHitPct,xIso,pullPct
236,668904,Royce Lewis,MIN,SF,False,6,2B,R,official,final,Cesar Perdomo,L,1.46,,0.09033452036285534,0.08898243902486214,0.09205032570906904,2.566509194549643,0.5922432000000001,fair,,,1,1,1,1,1,1,78,78 air · 68°F · cross 7 · 60° dew · RHB,14,497,,,,,10.7,,,,
237,650968,Yohel Pozo,BAL,TOR,True,9,C,R,official,live,CJ Van Eyk,R,1.35,,0.09021532098792162,0.08813332155956055,0.09104913012028648,2.212079803224925,0.35640000000000005,thin,,,1,1,1,1,1,1,89,89 air · 63°F · in CF 15 · 52° dew · RHB,1,55,,,,,2.1,,,,
238,672695,Geraldo Perdomo,AZ,COL,False,4,SS,S,official,preview,Mason Adams,R,2.35,,0.09019762474548194,0.08902008998739985,0.09210482368928369,2.4932693979974663,0.6580480000000001,fair,,,1,1,1,1,1,1,109,109 air · 69°F · cross RF 7 · 48° dew · switch,9,656,,,,,2.5,,,,
239,806367,Turner Hill,SF,MIN,True,2,CF,L,official,final,Connor Prielipp,L,1,,0.09008523720611433,0.0895624157637368,0.09273800209565955,2.898289930894468,0.9021024000000002,stable,,,1,1,1,1,1,1,78,78 air · 68°F · cross 7 · 60° dew · LHB,1,118,,,,,3.8,,,,
240,677649,Ezequiel Duran,TEX,NYM,True,5,3B,R,official,preview,Nolan McLean,R,0.89,,0.08970390127641299,0.08934540921535794,0.0924642744200642,2.6730740032188516,0.97,stable,,,1,1,1,1,1,1,106,106 air · 72°F · roof closed · RHB,17,578,,,,,5.9,,,,
241,655316,Andruw Monasterio,BOS,CLE,True,9,2B,R,official,preview,Foster Griffin,L,1.24,,0.08903173649992675,0.08865572649784692,0.09160966850595342,2.236335064225198,0.97,stable,,,1,1,1,1,1,1,78,78 air · 59°F · in CF 16 · 49° dew · RHB,6,333,,,,,6.7,,,,
242,694728,Brice Matthews,HOU,SEA,False,9,CF,R,projected,preview,George Kirby,R,1.11,,0.08868792447865873,0.08750253020086907,0.09037784538734323,2.369531097489556,0.6983999999999999,fair,,,1,1,1,1,1,1,85,85 air · 59°F · in LF 8 · 52° dew · RHB,7,233,,,,,8.5,,,,
243,514888,Jose Altuve,HOU,SEA,False,4,2B,R,projected,preview,George Kirby,R,1.11,,0.08700527607683804,0.0856848499700622,0.08854254859176908,2.8167383750439225,0.6983999999999999,fair,,,1,1,1,1,1,1,85,85 air · 59°F · in LF 8 · 52° dew · RHB,16,550,,,,,4.3,,,,
244,805346,Ben Ross,MIN,SF,False,9,SS,R,official,final,Cesar Perdomo,L,1.46,,0.0866484132039797,0.0837744259959069,0.08638822605277291,2.3007847577402103,0.3,thin,,,1,1,1,1,1,1,78,78 air · 68°F · cross 7 · 60° dew · RHB,0,21,,,,,12.5,,,,
245,801126,Brock Rodden,SEA,HOU,True,9,3B,S,projected,preview,Ethan Pecko,R,1.57,,0.08647807196486276,0.08357496318663649,0.08617752910947385,2.3562253543122633,0.3,thin,,,1,1,1,1,1,1,86,86 air · 59°F · in LF 8 · 52° dew · spray vs wall · switch,0,72,,,,,5.3,,,,
246,681047,Christian Franklin,BAL,TOR,True,8,LF,R,official,live,CJ Van Eyk,R,1.35,,0.08638735370127121,0.08370358317250548,0.08633203674612328,2.2930855424979506,0.35640000000000005,thin,,,1,1,1,1,1,1,89,89 air · 63°F · in CF 15 · 52° dew · RHB,0,46,,,,,12,,,,
